Model,Adjusted R-Squared,R-Squared,RMSE,RMSE_not_log,Time Taken
ExtraTreeRegressor,0.355252241,0.679679457,2.904916019,803.3707561,0.008961201
GradientBoostingRegressor,0.317925964,0.661135192,2.917136857,826.2982959,0.159729719
HistGradientBoostingRegressor,0.27210033,0.638368317,2.931256859,853.6048212,0.693401575
BaggingRegressor,0.24590509,0.625354121,2.938934103,868.8285885,0.051333666
LGBMRegressor,0.241798038,0.623313675,2.94011355,871.191341,0.085926533
XGBRegressor,0.210464118,0.607746504,2.948907034,889.0107946,1.345631361
RandomForestRegressor,0.200345805,0.602719572,2.951672208,894.689227,0.453494072
KNeighborsRegressor,0.090417172,0.548105346,2.979642225,954.2061791,0.051791668
ExtraTreesRegressor,0.035381324,0.520762696,2.992398931,982.6501645,0.29365921
LassoLarsIC,-0.090582882,0.458181753,3.019050436,1044.841554,0.0677073
AdaBoostRegressor,-0.104451372,0.451291675,3.021794398,1051.463975,0.044856787
TransformedTargetRegressor,-0.115309207,0.445897336,3.023918742,1056.619793,0.034938097
LinearRegression,-0.115309207,0.445897336,3.023918742,1056.619793,0.019938707
RidgeCV,-0.130957053,0.438123247,3.026944155,1064.006191,0.044108152
Ridge,-0.149534257,0.428893809,3.030482057,1072.709328,0.019680023
LassoCV,-0.155222382,0.426067861,3.031553895,1075.360043,0.462704182
Lasso,-0.155654852,0.425853003,3.031635172,1075.561311,0.041888237
LassoLars,-0.160111778,0.423638734,3.032471016,1077.633332,0.018940926
BayesianRidge,-0.211946414,0.397886495,3.041962807,1101.444978,0.07772541
ElasticNet,-0.378249573,0.315264543,3.069885032,1174.586572,0.0596807
PoissonRegressor,-0.415088461,0.296962421,3.075612893,1190.180671,0.03771472
TweedieRegressor,-0.442325739,0.283430524,3.079752775,1201.580233,0.017015934
ElasticNetCV,-0.540958055,0.234428482,3.094116507,1241.985447,0.07578516
MLPRegressor,-0.545635619,0.232104597,3.094774657,1243.869036,2.113823175
OrthogonalMatchingPursuitCV,-0.555406217,0.227250415,3.096143013,1247.794346,0.047591209
HuberRegressor,-0.569375724,0.22031015,3.098084563,1253.385203,0.061552763
OrthogonalMatchingPursuit,-0.587609735,0.211251214,3.100592975,1260.645491,0.009966373
PassiveAggressiveRegressor,-0.6130864,0.198594018,3.104049913,1270.720139,0.011021137
KernelRidge,-0.623733141,0.193304554,3.105478426,1274.906765,0.017937899
LassoLarsCV,-0.739885982,0.135598047,3.120481493,1319.719071,0.040924311
LinearSVR,-0.846075716,0.082841364,3.133345853,1359.395578,0.011958599
LarsCV,-0.919864799,0.04618182,3.141856421,1386.297439,0.054149151
DummyRegressor,-1.013753448,-0.000463496,3.152224247,1419.790437,0.006976128
NuSVR,-1.181483238,-0.08379422,3.169597038,1477.736629,0.025099277
SVR,-1.246003412,-0.115848829,3.175926304,1499.430374,0.039375067
QuantileRegressor,-1.255545363,-0.120589416,3.176846881,1502.612098,11.84093666
DecisionTreeRegressor,-1.302002924,-0.143670243,3.181274034,1518.007907,0.012957335
GaussianProcessRegressor,-12.49696869,-5.705500367,3.565339218,3675.692891,0.101093531
SGDRegressor,-2.57E+17,-1.27E+17,11.70483989,5.06804E+11,0.009966373
RANSACRegressor,-1.07E+24,-5.31E+23,15.01475267,1.03455E+15,0.210711718
Lars,-2.64E+43,-1.31E+43,24.71089223,5.14E+24,0.014953375
