Column,min,25%,50%,75%,max,mean,std
concentration,0,5,33,200,12500,507.4976898,1516.12337
mol_weight (g/mol),58.6934,81.3794,107.8682,107.87,231.7358,107.3210093,37.99115974
np_size_avg (nm),0.8,11.3,20,38,100,25.79292434,20.42734233
time_set,0,18,24,24,24,20.27198364,7.439761665
"min_Incub_period, h",0.16,24,24,48,48,27.63255624,14.02783744
"growth_temp, C",30,37,37,37,37,35.72597137,2.703701229
Valance_electron,8,8,11,11,28,10.92229039,3.457898726
labuteASA,17.41523038,22.60496136,23.00188061,23.00188061,51.55776403,23.71132149,5.062844536
tpsa,0,0,0,17.07,85.5,9.986134969,14.065873
CrippenMR,0,0,0,0.6865,13.5675,0.567319018,1.727118256
chi0v,1.243163121,1.78376517,2.46797672,4.082482905,4.688846487,2.756837578,1.123496531
