Numerical features,mean,std,min,25%,50%,75%,max
log_concentration,1.66,1.11,-1.70,0.81,1.78,2.41,4.10
mol_weight (g/mol),107.32,37.99,58.69,81.38,107.87,107.87,231.74
np_size_avg (nm),25.79,20.43,0.80,11.30,20.00,38.00,100.00
time_set,20.27,7.44,0.00,18.00,24.00,24.00,24.00
"min_Incub_period, h",27.63,14.03,0.16,24.00,24.00,48.00,48.00
"growth_temp, C",35.73,2.70,30.00,37.00,37.00,37.00,37.00
Valance_electron,10.92,3.46,8.00,8.00,11.00,11.00,28.00
labuteASA,23.71,5.06,17.42,22.60,23.00,23.00,51.56
tpsa,9.99,14.07,0.00,0.00,0.00,17.07,85.50
CrippenMR,0.57,1.73,0.00,0.00,0.00,0.69,13.57
chi0v,2.76,1.12,1.24,1.78,2.47,4.08,4.69
